Pid      Process              Base       InLoad InInit InMem MappedPath
     660 svchost.exe          0x75030000 True   True   True  \Windows\System32\winsta.dll
     660 svchost.exe          0x75070000 True   True   True  \Windows\System32\profapi.dll
     660 svchost.exe          0x74870000 True   True   True  \Windows\System32\devrtl.dll
     660 svchost.exe          0x74680000 True   True   True  \Windows\System32\pcwum.dll
     660 svchost.exe          0x74af0000 True   True   True  \Windows\System32\cryptsp.dll
     660 svchost.exe          0x74890000 True   True   True  \Windows\System32\rsaenh.dll
     660 svchost.exe          0x76f20000 True   True   True  \Windows\System32\ntdll.dll
     660 svchost.exe          0x70e90000 True   True   True  \Windows\System32\wbem\fastprox.dll
     660 svchost.exe          0x76470000 True   True   True  \Windows\System32\kernel32.dll
     660 svchost.exe          0x76ad0000 True   True   True  \Windows\System32\user32.dll
     660 svchost.exe          0x750f0000 True   True   True  \Windows\System32\wintrust.dll
     660 svchost.exe          0x00510000 True   False  True  \Windows\System32\svchost.exe
     720 VBoxService.ex       0x75320000 True   True   True  \Windows\System32\KernelBase.dll
     720 VBoxService.ex       0x011c0000 True   False  True  \Windows\System32\VBoxService.exe
     720 VBoxService.ex       0x77070000 True   True   True  \Windows\System32\Wldap32.dll
     720 VBoxService.ex       0x76340000 True   True   True  \Windows\System32\sechost.dll
     720 VBoxService.ex       0x74630000 True   True   True  \Windows\System32\IPHLPAPI.DLL
     720 VBoxService.ex       0x74570000 True   True   True  \Windows\System32\wtsapi32.dll
     720 VBoxService.ex       0x76a30000 True   True   True  \Windows\System32\usp10.dll
     720 VBoxService.ex       0x745f0000 True   True   True  \Windows\System32\ntmarta.dll
     720 VBoxService.ex       0x74540000 True   True   True  \Windows\System32\WSHTCPIP.DLL
     720 VBoxService.ex       0x76630000 True   True   True  \Windows\System32\ws2_32.dll
     720 VBoxService.ex       0x75440000 True   True   True  \Windows\System32\msvcrt.dll
     720 VBoxService.ex       0x76460000 True   True   True  \Windows\System32\nsi.dll
     720 VBoxService.ex       0x76670000 True   True   True  \Windows\System32\rpcrt4.dll
     720 VBoxService.ex       0x768a0000 True   True   True  \Windows\System32\gdi32.dll
     720 VBoxService.ex       0x74ab0000 True   True   True  \Windows\System32\mswsock.dll
     720 VBoxService.ex       0x76ad0000 True   True   True  \Windows\System32\user32.dll
     720 VBoxService.ex       0x77060000 True   True   True  \Windows\System32\lpk.dll
     720 VBoxService.ex       0x74f30000 True   True   True  \Windows\System32\secur32.dll
     720 VBoxService.ex       0x74f50000 True   True   True  \Windows\System32\sspicli.dll
     720 VBoxService.ex       0x75370000 True   True   True  \Windows\System32\msctf.dll
     720 VBoxService.ex       0x76da0000 True   True   True  \Windows\System32\imm32.dll
     720 VBoxService.ex       0x74650000 True   True   True  \Windows\System32\version.dll
     720 VBoxService.ex       0x74620000 True   True   True  \Windows\System32\winnsi.dll
     720 VBoxService.ex       0x75030000 True   True   True  \Windows\System32\winsta.dll
     720 VBoxService.ex       0x74550000 True   True   True  \Windows\System32\dhcpcsvc.dll
     720 VBoxService.ex       0x74660000 True   True   True  \Windows\System32\mpr.dll
     720 VBoxService.ex       0x76470000 True   True   True  \Windows\System32\kernel32.dll
     720 VBoxService.ex       0x76890000 True   True   True  \Windows\System32\psapi.dll
     720 VBoxService.ex       0x76f20000 True   True   True  \Windows\System32\ntdll.dll
     720 VBoxService.ex       0x768f0000 True   True   True  \Windows\System32\advapi32.dll
     788 svchost.exe          0x74580000 True   True   True  \Windows\System32\RpcEpMap.dll
     788 svchost.exe          0x00510000 True   False  True  \Windows\System32\svchost.exe
     788 svchost.exe          0x76340000 True   True   True  \Windows\System32\sechost.dll
     788 svchost.exe          0x74f30000 True   True   True  \Windows\System32\secur32.dll
     788 svchost.exe          0x74570000 True   True   True  \Windows\System32\wtsapi32.dll
     788 svchost.exe          0x74590000 True   True   True  \Windows\System32\rpcss.dll
     788 svchost.exe          0x76dc0000 True   True   True  \Windows\System32\ole32.dll
     788 svchost.exe          0x74fc0000 True   True   True  \Windows\System32\cryptbase.dll
     788 svchost.exe          0x76a30000 True   True   True  \Windows\System32\usp10.dll
     788 svchost.exe          0x73000000 True   True   True  \Windows\System32\FWPUCLNT.DLL
     788 svchost.exe          0x74540000 True   True   True  \Windows\System32\WSHTCPIP.DLL
     788 svchost.exe          0x76630000 True   True   True  \Windows\System32\ws2_32.dll
     788 svchost.exe          0x75440000 True   True   True  \Windows\System32\msvcrt.dll
     788 svchost.exe          0x75060000 True   True   True  \Windows\System32\RpcRtRemote.dll
     788 svchost.exe          0x76670000 True   True   True  \Windows\System32\rpcrt4.dll
     788 svchost.exe          0x76460000 True   True   True  \Windows\System32\nsi.dll
     788 svchost.exe          0x768a0000 True   True   True  \Windows\System32\gdi32.dll
     788 svchost.exe          0x74ab0000 True   True   True  \Windows\System32\mswsock.dll
     788 svchost.exe          0x744c0000 True   True   True  \Windows\System32\FirewallAPI.dll
     788 svchost.exe          0x76ad0000 True   True   True  \Windows\System32\user32.dll
     788 svchost.exe          0x77060000 True   True   True  \Windows\System32\lpk.dll
     788 svchost.exe          0x74af0000 True   True   True  \Windows\System32\cryptsp.dll
     788 svchost.exe          0x74f50000 True   True   True  \Windows\System32\sspicli.dll
     788 svchost.exe          0x75370000 True   True   True  \Windows\System32\msctf.dll
     788 svchost.exe          0x74790000 True   True   True  \Windows\System32\credssp.dll
     788 svchost.exe          0x769a0000 True   True   True  \Windows\System32\clbcatq.dll
     788 svchost.exe          0x75320000 True   True   True  \Windows\System32\KernelBase.dll
     788 svchost.exe          0x74650000 True   True   True  \Windows\System32\version.dll
     788 svchost.exe          0x75030000 True   True   True  \Windows\System32\winsta.dll
